player_name,birth_state,team
LeBron James,Ohio,Lakers
Kevin Durant,Maryland,Nets
Giannis Antetokounmpo,Greece,Bucks
Stephen Curry,Ohio,Warriors
Kawhi Leonard,California,Clippers
Luka Doncic,Slovenia,Mavericks
Joel Embiid,Cameroon,76ers
Anthony Davis,Illinois,Lakers
James Harden,California,Nets
Damian Lillard,California,Trail Blazers
