player_name,position,team
LeBron James,Forward,Lakers
Kevin Durant,Forward,Nets
Giannis Antetokounmpo,Forward,Bucks
Stephen Curry,Guard,Warriors
Kawhi Leonard,Forward,Clippers
Luka Doncic,Guard,Mavericks
Joel Embiid,Center,76ers
Anthony Davis,Forward,Lakers
James Harden,Guard,Nets
Damian Lillard,Guard,Trail Blazers
